CEDEAR,Ratio
MSTR,20
UBER,2
UPST,5
COIN,27
LAC,1
WFC,5
BAC,4
BITF,0.2
JPM,15
YY,5
C,3
SE,32
USB,5
UAL,5
X,3
FSLR,18
BA,24
MRVL,14
GS,13
MELI,120
AXP,15
XLF,2
AMD,10
SBUX,12
JMIA,1
IWM,10
TGT,24
PYPL,8
BB,3
ABNB,15
AMGN,30
SPGI,45
NU,2
IP,4
TRIP,2
INFY,1
GE,8
INTC,5
MUX,2
HWM,1
PANW,50
LRCX,56
HON,8
EA,14
LVS,2
META,24
AIG,5
PG,15
CAT,20
TXN,5
BCS,1
DIA,20
DIS,12
BRK.B,22
MU,5
NEM,3
JD,4
CSCO,5
CL,3
AMZN,144
CAAP,0.25
EEM,5
ADI,15
DE,40
LMT,20
BG,5
UNP,20
BABA,9
PEP,18
AAL,2
MMM,10
BBVA,1
TX,4
RTX,5
SYY,8
ARCO,0.5
ERIC,2
KMB,6
MA,33
AMX,1
VALE,2
QCOM,11
AMAT,5
MCD,24
ADP,6
ARKK,10
SLB,3
GOOGL,58
HD,32
ABT,4
AZN,2
SPY,20
WB,6
SONY,8
BIOX,1
T,3
XLE,2
SHOP,107
GILD,4
NTES,14
UL,3
DD,5
WMT,18
XOM,10
GLW,4
MSI,20
KO,5
RIO,8
VIST,3
LYG,2
ETSY,16
CDE,1
DEO,6
STNE,3
SNOW,30
MSFT,30
PHG,5
IBM,15
JNJ,15
F,1
CVX,16
OXY,5
QQQ,20
MRK,5
GM,6
ORCL,3
KGC,1
SAN,0.25
ABBV,10
NVDA,24
FDX,10
HAL,2
UNH,33
PAGS,3
AEG,1
BHP,2
RBLX,2
V,18
TS,1
PSX,6
BMY,3
HMY,1
AEM,6
BIIB,13
NKE,12
TWLO,36
BK,2
PLTR,3
SHEL,2
DESP,1
VZ,4
EBAY,2
AAPL,20
CRM,18
HL,1
NIO,4
TM,15
DOCU,22
PAAS,3
BIDU,11
BP,5
SQ,20
COST,48
TV,3
GOLD,2
HSY,21
ZM,47
PFE,4
EWZ,2
PBR,1
GLOB,18
GFI,1
PKX,3
AGRO,1
SPOT,28
VOD,1
HMC,1
NFLX,48
GSK,4
MOS,5
BRFS,0.33
UGP,1
ABEV,0
TEF,8
IBN,1
BSBR,1
NOK,1
ADBE,44
SATL,1
WBA,3
BBD,1
CAR,26
AVGO,39
CAH,3
GT,2
ORLY,222
MO,4
ERJ,1
GPRK,1
NXE,1
BKR,7
GGB,0.25
SID,0.13
SDA,2
DHR,54
AAP,14
LAAC,1
TSLA,15
EQNR,6
TSM,9
HPQ,1
DOW,6
LLY,56
